Title,Company,Location,Date,Apply Here
Assistant marketing & e-commerce (H/F),Edifis Group,"Al Marsá, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/assistant-marketing-e-commerce-h-f-at-edifis-group-2818504755?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=DY%2BW7nrbGHTjFH9tN08j7w%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
Contrôleur de Gestion Industrielle H/F,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-09-27,https://tn.linkedin.com/jobs/view/contr%C3%B4leur-de-gestion-industrielle-h-f-at-talentup-2736195465?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=9rL52EhJkP8YMGPM7DnC2g%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
Responsable des programmes,The Dot,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/responsable-des-programmes-at-the-dot-2814603465?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=TnpZltl0hN3lQyHG5Przow%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
Un(e) chargé(e) de projet événementiel,Tunisia Marketplace,"Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/un-e-charg%C3%A9-e-de-projet-%C3%A9v%C3%A9nementiel-at-tunisie-place-de-march%C3%A9-tpm-sa-469606418?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=3kjoU4EmPlhZcm3SoSrBiw%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
Patient Journey Partner,Roche,"Tunis, Tunis, Tunisia",2021-11-04,https://tn.linkedin.com/jobs/view/patient-journey-partner-at-roche-2818914709?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=%2FDF5pmiPc0AK3l36QMbePw%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
Agent financier,Botb,"Tunis, Tunisia",2021-11-27,https://tn.linkedin.com/jobs/view/agent-financier-at-botb-2813358412?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=svRJm672BniZW6NznFYciA%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
Community Manager,HackUp,"Tunis, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/community-manager-at-hackup-2828216497?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=J%2ByhsthqnCQLW44UK%2FUA0w%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
Office manager- Tunisia,Heetch,"Tunis, Tunis, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/office-manager-tunisia-at-heetch-2796550519?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=wyn0NTU2TUaBGKaGCO8r2g%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
Comptable junior,Tessan Group,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/comptable-junior-at-tessan-group-2826182801?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=YUhs7G4tjWS1RX9QcwmrdQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
Content Agent - Jumia (Full Time),Jumia Group,"Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/content-agent-jumia-full-time-at-jumia-group-2828901030?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=xIpz67Q5E2ArA49WD%2FdYiw%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
Responsable Marché cible,Sika,"Douar Hicher, Manouba Governorate, Tunisia",2021-10-30,https://tn.linkedin.com/jobs/view/responsable-march%C3%A9-cible-at-sika-2805979664?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=tOCIV%2FpDnvKea%2BMZzCzbRw%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
Responsable Bid Management,PwC Tunisia,"Tunis, Tunisia",2021-11-28,https://tn.linkedin.com/jobs/view/responsable-bid-management-at-pwc-tunisia-2813974655?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=4lr8JeGpjZHBBNwkcOCSJA%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
Finance Assistant,ARTICLE 19,"Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/finance-assistant-at-article-19-2806819656?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=gKDsvp%2BnXoRE%2FumCdiyshw%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
Responsable marketing,Teemy's,"Ariana Governorate, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/responsable-marketing-at-teemy-s-2799353778?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=ZAP6JClkY11007jKHbY4yA%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
Directeur systèmes informatiques,Traveltodo,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/directeur-syst%C3%A8mes-informatiques-at-traveltodo-2673558128?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=a8n8KTBaKze0WzesmLR0MQ%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
Gestionnaires en Assurances,Solution Group,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/gestionnaires-en-assurances-at-solution-group-2813587138?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=egKtUS8rtWETui26G9YHSw%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
Finance Operations Agent - Jumia (Full Time),Jumia Group,"Tunis, Tunisia",2021-10-31,https://tn.linkedin.com/jobs/view/finance-operations-agent-jumia-full-time-at-jumia-group-2812502203?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=hIBcYu%2FrOLSzpIe4Z9VZug%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
Sales Support Representative,MONOGROS,"Tunis, Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/sales-support-representative-at-monogros-2813191352?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=C3aMp4LYat7gGppo0KAY6A%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
Accounting & Financial Analyst,Sika,"Douar Hicher, Manouba Governorate, Tunisia",2021-10-14,https://tn.linkedin.com/jobs/view/accounting-financial-analyst-at-sika-2784482658?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=syLUgbI8haW4I%2FCyZcglaA%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
HR & Administrative Assistant,Emerson Automation Solutions,"Tunis, Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/hr-administrative-assistant-at-emerson-automation-solutions-2816586734?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=1UqO1LuPBw1Gxhj87A%2FVJw%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
Customer Success Agent - French/English,VidCruiter,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/customer-success-agent-french-english-at-vidcruiter-2819772700?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=FatBiQvgUuB%2FtVhNRPY7jQ%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card
Product Owner,Capgemini Engineering,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/product-owner-at-capgemini-engineering-2826184105?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=Qf8106wt00Ds%2B2Fr%2BOanVA%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
Gestionnaires en Assurances,solution Groupe,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/gestionnaires-en-assurances-at-solution-groupe-2689980051?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=eFqX6XA2GKiNl8dOz6SXyw%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
Rédacteur de contenu Web,Wereact,"Tunis, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/r%C3%A9dacteur-de-contenu-web-at-wereact-2806486587?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=HamiaCeSnZAMca21KmwxhA%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card
Renewable Energy Lead – Tunisia,Tetra Tech,"Tunis, Tunis, Tunisia",2021-10-29,https://tn.linkedin.com/jobs/view/renewable-energy-lead-%E2%80%93-tunisia-at-tetra-tech-2803966389?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=7vgkWGtjDNTc%2F2oWgM8lGQ%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card
Chargé de Recrutement,Digimark tunisie,"Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/charg%C3%A9-de-recrutement-at-digimark-tunisie-2811716868?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=Y5d4WFPr0zJkmMCfIxjNAQ%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card
Sustainability Coordinator,Iberostar Group,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/sustainability-coordinator-at-iberostar-group-2815829995?refId=sC66S3J%2FxMQr5%2FmsGbMAYg%3D%3D&trackingId=xWYLTM2j4nASQjOoRguG6w%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card
Cash Collection Manager,Sopra Steria,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/cash-collection-manager-at-sopra-steria-2819651681?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=DzXHJrZAnL86VYQGxqshpA%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card
Product Manager,Derinton Tunisie,"Tunis, Tunis, Tunisia",2021-11-27,https://tn.linkedin.com/jobs/view/product-manager-at-derinton-tunisie-2810692452?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=j8KLTV5fZ%2FBrkgazd%2F0qhA%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
Consultant/Research Assistant,Global Center on Cooperative Security,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/consultant-research-assistant-at-global-center-on-cooperative-security-2820885572?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=SvvwGAqk1GxialcVNoc%2Bqg%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
eCommerce Merchandising Specialist,Vista,"Tunis, Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/ecommerce-merchandising-specialist-at-vista-2828727837?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=H0xqtgVi5CuM4bgdulArvQ%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card
Responsable marketing,DIGIVIEW AGENCY,"Tunis, Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/responsable-marketing-at-digiview-agency-2804894792?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=4BoZ7jytN9pGyWq8ED1DpQ%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
Commercial Région Sud de la Tunisie et Libye,Sika,"Douar Hicher, Manouba Governorate, Tunisia",2021-10-30,https://tn.linkedin.com/jobs/view/commercial-r%C3%A9gion-sud-de-la-tunisie-et-libye-at-sika-2805977884?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=cxQAdrXi8LhpUMwUsl3iZg%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card
Key Account Manager,"SITEC "" Smart IT Engineering & Consulting""",Grand Tunis Metropolitan Area,2021-11-11,https://tn.linkedin.com/jobs/view/key-account-manager-at-sitec-smart-it-engineering-consulting-2790348155?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=0%2B5Zf8U27IYnL5%2FjDK%2BA7Q%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card
Communication Senior Consultant,Ma3an Tunisia,"Tunis, Tunis, Tunisia",2021-11-28,https://tn.linkedin.com/jobs/view/communication-senior-consultant-at-ma3an-tunisia-2804856968?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=h7Lx5fwEiZj0ck6JGD2agw%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card
QA tester/Automation Engineer,novobit Partners / novobit Group GmbH,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/qa-tester-automation-engineer-at-novobit-partners-novobit-group-gmbh-2785670345?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=S4FuypqTFPeSp8UK0QSLRQ%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card
Responsable de centre de formation,Freelance,"Aryanah al-'Ulya, Ariana Governorate, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/responsable-de-centre-de-formation-at-freelance-2797830833?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=iB51bIz%2FvMqph%2FQA40iB5w%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card
"Energy Sector, Cross-Cutting and Project Management Experts - Tunisia",Tetra Tech,"Tunis, Tunis, Tunisia",2021-10-21,https://tn.linkedin.com/jobs/view/energy-sector-cross-cutting-and-project-management-experts-tunisia-at-tetra-tech-2793866622?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=X2ouAX7s5KVo6GT%2F18Q4Lw%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card
Marketing Specialist,Vista,"Tunis, Tunis, Tunisia",2021-10-31,https://tn.linkedin.com/jobs/view/marketing-specialist-at-vista-2813149080?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=DPuFPONTY7%2BxeqWnJlspmQ%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card
Aruba Welcome Center Agent (L0) _ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-27,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2811260571?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=%2BTEDKlhjAPWhZqRJ9vF4vw%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card
Head of Network,Bank ABC Tunisie,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/head-of-network-at-bank-abc-tunisie-2803419164?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=N91n5%2Bib%2BMTVxcVO%2FK9ELA%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card
Chargé de Recrutement,Gǎibiàn,"Tunis, Tunis, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/charg%C3%A9-de-recrutement-at-g%C7%8Eibi%C3%A0n-2827728445?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=fIIBeVATivmt%2FS6bpoDZTw%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card
"Program Associate, Tunisia Office",Center for International Private Enterprise,"Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/program-associate-tunisia-office-at-center-for-international-private-enterprise-2828906919?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=pDKEuQGr1MqqS9yqWX2vBA%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card
Digital Project Manager,LMDK Agency,"Al Marsá, Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/digital-project-manager-at-lmdk-agency-2808118260?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=oleBNfpWMywM3hJyKK7pfw%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card
RESPONSABLE MARKETING,Cayon Cloud Communication,"Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/responsable-marketing-at-cayon-cloud-communication-2369420262?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=Z5gqmZrlpZyw%2Fl0PS%2FjMXA%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card
Agent Commercial Tunis (Femme),Coffee,Grand Tunis Metropolitan Area,2021-12-03,https://tn.linkedin.com/jobs/view/agent-commercial-tunis-femme-at-coffee-2825665598?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=FIyadBTePr%2F2BLF28YKWIA%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card
Marketing Intern (Remote Internship),Brainnest,"Tunis, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/marketing-intern-remote-internship-at-brainnest-2817986173?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=cRKMW3meYoheNNiShXdxyQ%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card
Conseiller et Conseilleres Des Ventes,Ventes En Detail,Grand Tunis Metropolitan Area,2021-11-07,https://tn.linkedin.com/jobs/view/conseiller-et-conseilleres-des-ventes-at-ventes-en-detail-2786582004?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=1LW1SQhcvOPeWdFUk%2FPTqQ%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card
Finance Coordinator - Tunisia/Libya,Cesvi Fondazione Onlus,"Tunis, Tunis, Tunisia",2021-11-12,https://tn.linkedin.com/jobs/view/finance-coordinator-tunisia-libya-at-cesvi-fondazione-onlus-2796335922?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=%2BUjIgo3X7LbvknqVBSBc0A%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card
Aruba Welcome Center Agent (L0) _ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2809985859?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=JJ0JxHnppD7RELVVQ6fvAw%3D%3D&position=23&pageNum=4&trk=public_jobs_jserp-result_search-card
DRH Usine H/F,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/drh-usine-h-f-at-talentup-2828690090?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=e7IBGC0Z1W1Q4YLK3URP8Q%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card
Assistant(e) commercial(e) Digital Healthcare,Karl Müller GmbH & Co. KG Fahrzeugwerk,"Ariana Governorate, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/assistant-e-commercial-e-digital-healthcare-at-karl-m%C3%BCller-gmbh-co-kg-fahrzeugwerk-2818911428?refId=DNGR7RpzpFt3Bxg3rRF3qw%3D%3D&trackingId=JU7NpKqBM7rb2w7YwaWWgg%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card
Account Support Manager,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-10-11,https://tn.linkedin.com/jobs/view/account-support-manager-at-hewlett-packard-enterprise-2783848883?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=y2vWPzKht1%2BUaqgbd7lPNA%3D%3D&position=1&pageNum=5&trk=public_jobs_jserp-result_search-card
Directeur du systeme d'information,Express Air Cargo,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/directeur-du-systeme-d-information-at-express-air-cargo-2818454992?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=YrcCTqPeCC4lUxxzUkexxQ%3D%3D&position=2&pageNum=5&trk=public_jobs_jserp-result_search-card
Consultant,THE UNDP TUNIS,"Tunis, Tunis, Tunisia",2021-11-27,https://tn.linkedin.com/jobs/view/consultant-at-the-undp-tunis-2811911285?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=MtNFgPgSz%2BQncZwfohX%2FXg%3D%3D&position=3&pageNum=5&trk=public_jobs_jserp-result_search-card
Junior Account Payables Responsible f/m,Bosch Africa,"Tunis, Tunisia",2021-11-12,https://tn.linkedin.com/jobs/view/junior-account-payables-responsible-f-m-at-bosch-africa-2791523988?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=g3CgJwaLvJi3q1So9WVdLw%3D%3D&position=4&pageNum=5&trk=public_jobs_jserp-result_search-card
Manager de communauté,AU BOUT DU FIL,"Tunis, Tunis, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/manager-de-communaut%C3%A9-at-au-bout-du-fil-2815023614?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=Wokr1iMJxJyH4Gu3YUjgMQ%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card
Commercial Distribution,Sika,"Douar Hicher, Manouba Governorate, Tunisia",2021-10-29,https://tn.linkedin.com/jobs/view/commercial-distribution-at-sika-2805221409?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=GuujTVfP4exw1fSG4lsHNA%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card
Gestionnaire,OEWEO,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/gestionnaire-at-oeweo-2818491739?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=buALIwCdUQ%2B9pfAdqkXQnA%3D%3D&position=7&pageNum=5&trk=public_jobs_jserp-result_search-card
Audit Manager,The Adecco Group,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/audit-manager-at-the-adecco-group-2826407019?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=ZeSTk8W%2F4P0AsDnrVcF%2Fdw%3D%3D&position=8&pageNum=5&trk=public_jobs_jserp-result_search-card
Ingénieur Support Technique,Sika,"Douar Hicher, Manouba Governorate, Tunisia",2021-11-01,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-support-technique-at-sika-2809212344?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=mTTecLZddR2TCIxKIEQuxg%3D%3D&position=9&pageNum=5&trk=public_jobs_jserp-result_search-card
(Cluster) Internal Controller and Risk Manager - Tunisia,Air Liquide,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/cluster-internal-controller-and-risk-manager-tunisia-at-air-liquide-2816514568?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=gxElwwEgmVF0DlbioKvIGQ%3D%3D&position=10&pageNum=5&trk=public_jobs_jserp-result_search-card
"Manager, Technology",Vista,"Tunis, Tunis, Tunisia",2021-10-31,https://tn.linkedin.com/jobs/view/manager-technology-at-vista-2813233835?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=xKFxUVZTnpWry8BNEpV3PA%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card
Junior M&A Analyst (H/F),SESAMm,"Tunis, Tunis, Tunisia",2021-10-20,https://tn.linkedin.com/jobs/view/junior-m-a-analyst-h-f-at-sesamm-2798600568?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=r7GMo%2BybbmntQJ%2BvaJc5bg%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card
Country Manager - Tunisia (Cryptocurrency/Fintech),Black Pen Recruitment,"Tunis, Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/country-manager-tunisia-cryptocurrency-fintech-at-black-pen-recruitment-2822317898?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=KsqFSFLPG0%2BH%2BNngDOhF5A%3D%3D&position=13&pageNum=5&trk=public_jobs_jserp-result_search-card
Assistante Community Manager,POLARIS TUNISIE,"Ariana Governorate, Tunisia",2021-11-18,https://tn.linkedin.com/jobs/view/assistante-community-manager-at-polaris-tunisie-2800357310?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=i20XTjXAdnrLgC5IOi2weQ%3D%3D&position=14&pageNum=5&trk=public_jobs_jserp-result_search-card
Project Management Officer,CosaVostra,"Tunis, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/project-management-officer-at-cosavostra-2799787806?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=c9HdKzRStjTH0s3pYu7tjw%3D%3D&position=15&pageNum=5&trk=public_jobs_jserp-result_search-card
"Project Manager, Supporting Anti-Corruption in Healthcare Administration (SAHA)",Center for International Private Enterprise,"Tunis, Tunisia",2021-11-03,https://tn.linkedin.com/jobs/view/project-manager-supporting-anti-corruption-in-healthcare-administration-saha-at-center-for-international-private-enterprise-2816495774?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=JSjjRlAAeXt7n366lSFz0A%3D%3D&position=16&pageNum=5&trk=public_jobs_jserp-result_search-card
Senior Help Desk,Pixartprinting - a Cimpress Company,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/senior-help-desk-at-pixartprinting-a-cimpress-company-2819756068?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=IbNOEzEBvntuoLcnar49eQ%3D%3D&position=17&pageNum=5&trk=public_jobs_jserp-result_search-card
Regulatory affairs supervisor,Hikma Pharmaceuticals,"Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/regulatory-affairs-supervisor-at-hikma-pharmaceuticals-2822028724?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=54IBqeK6vbBYx%2FbGlac8eQ%3D%3D&position=18&pageNum=5&trk=public_jobs_jserp-result_search-card
Internal Controller,Air Liquide,"Tunis, Tunisia",2021-11-19,https://tn.linkedin.com/jobs/view/internal-controller-at-air-liquide-2801357816?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=o0wTlDGbFmOTh97i1fmttQ%3D%3D&position=19&pageNum=5&trk=public_jobs_jserp-result_search-card
Aruba Welcome Center Agent (L0) _ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2818798336?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=zH9IIYCtEOYceBkFKY34dw%3D%3D&position=20&pageNum=5&trk=public_jobs_jserp-result_search-card
HR Generalist H/F - Industrie,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/hr-generalist-h-f-industrie-at-talentup-2812236507?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=CxWvISME9hym9Mxd%2B96jog%3D%3D&position=21&pageNum=5&trk=public_jobs_jserp-result_search-card
